layer,signal,dataset,period,risk_level,risk_label,n,n20,avg20,median20,win20,right_tail20_rate,n60,avg60,median60,win60,right_tail60_rate,notes
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,18,15,0.18209459829500102,0.1302935583957769,0.6666666666666666,0.3333333333333333,5,0.6629374064459378,0.6934651109492422,1.0,0.8,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,46,34,-0.029382856558702333,-0.10807752578079026,0.38235294117647056,0.20588235294117646,17,-0.051161895108679814,-0.19889161086263954,0.4117647058823529,0.11764705882352941,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,31,30,0.034088595414211734,-0.012765804996372764,0.4666666666666667,0.23333333333333334,27,0.05486682153472126,-0.08679574759562635,0.3333333333333333,0.1111111111111111,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,35,33,0.07658515496158652,0.02198917832894388,0.5151515151515151,0.30303030303030304,27,0.10522776675906995,0.05986497847671468,0.5185185185185185,0.1111111111111111,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,57,54,0.07007104265793995,0.03169718404496309,0.5555555555555556,0.16666666666666666,44,0.1440314959062374,0.014664701773452103,0.5227272727272727,0.1590909090909091,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2_c3_xq,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,113,100,0.02922152459676461,-0.02533145969190613,0.42,0.23,83,0.09326580180061969,-0.031229898357056696,0.4578313253012048,0.18072289156626506,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,16,16,-0.029042667754946964,-0.05430544718810668,0.375,0.125,16,-0.021691722517889846,-0.08257198350722889,0.3125,0.0625,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,12,12,0.02194958937243528,-0.0021041811912870106,0.4166666666666667,0.25,12,-0.0031089879442747965,-0.09119066656712324,0.3333333333333333,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,14,14,0.0876192035436043,-0.006970821748100847,0.5,0.21428571428571427,14,0.14454779063625683,-0.0954478422594755,0.42857142857142855,0.14285714285714285,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,14,14,0.09593529228048252,0.10235766764031382,0.6428571428571429,0.21428571428571427,14,0.13969274417217994,0.12901505775548563,0.6428571428571429,0.14285714285714285,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,5,4,0.35264599827480464,0.32565141916766116,1.0,1.0,1,0.4267191606423355,0.4267191606423355,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,7,7,0.20502536779756061,0.20089212519058974,0.8571428571428571,0.5714285714285714,2,0.35805197673905453,0.35805197673905453,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,12,10,0.2319729197603618,0.13854420167452938,0.7,0.4,3,0.547956906262742,0.6830244786500761,1.0,0.6666666666666666,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,10,9,0.02606994315448797,-0.08825003265931602,0.4444444444444444,0.3333333333333333,4,-0.16119261827673265,-0.1157650898199182,0.5,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,24,23,0.05053147127965487,0.01300810912244401,0.5217391304347826,0.30434782608695654,20,0.03487222613049832,-0.0806693739457756,0.35,0.1,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,22,22,0.06549831617603229,0.02615769201032326,0.5454545454545454,0.3181818181818182,17,0.02464274381600365,-0.09462093183796398,0.35294117647058826,0.058823529411764705,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,29,27,0.11479592186695164,0.024671924170457993,0.5555555555555556,0.2962962962962963,20,0.1679868516879844,-0.003318262513735383,0.5,0.2,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,27,26,0.053503913619975765,0.05326434443238436,0.5384615384615384,0.23076923076923078,21,0.0393893620247537,0.018823370871277056,0.5238095238095238,0.09523809523809523,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,magic26_v0_quality,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,14,14,-0.012130709338421372,-0.046606565587132914,0.42857142857142855,0.14285714285714285,14,0.021403680564920598,-0.04660314797852748,0.35714285714285715,0.07142857142857142,risk levels from P2-6 draft; dedup_prefer_adjusted only
