date,stock_id,stock_name,industry_category,price_mode,candidate,close,avg_amount_20d,range_pos,gap1,gap2,ret_20d,days_since_max_volume,top5_volume_ratio_120,signal_day_ret_1d,next_open_gap,t1_open_excess_20d,t1_open_excess_60d,risk_signal_day_gt9,risk_next_gap_gt3,risk_liquidity_lt100m,is_main_spec,is_weak_momentum,is_floor15_observation,is_high_open_risk,is_low_liquidity_risk,momentum_bucket_zh,strategy_role_zh,research_priority_zh,research_tags,source_type,ret_60d_signal,ret60_cap150_pass,top1_to_top3_volume_ratio,top1_to_top5_volume_ratio,top1_to_top10_volume_ratio,volume_gap_risk_zh,volgap_subtype_zh,volgap_score_impact,risk_daily_long_ma_bear,risk_weekly_long_ma_bear,risk_any_long_ma_bear,risk_long_ma_score,risk_badge_zh
2026-04-20,8048,德勝,通信網路業,raw,B_magic_c4_40_fixed20,71.0,38536697.55,1.0,0.0718250630782169,0.1041413966383639,0.1716171617161717,93.0,0.4784494428275489,0.0990712074303405,0.028169014084507,-0.248640784030635,,True,False,True,False,False,False,False,True,中段15-25%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-20,8048,德勝,通信網路業,adjusted,B_magic_c4_40_fixed20,71.0,38536697.55,1.0,0.0718250630782169,0.1041413966383639,0.1716171617161717,93.0,0.4784494428275489,0.0990712074303405,0.028169014084507,-0.248640784030635,,True,False,True,False,False,False,False,True,中段15-25%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-20,8048,德勝,通信網路業,raw,C_c4_25_fixed20,71.0,38536697.55,1.0,0.0718250630782169,0.1041413966383639,0.1716171617161717,93.0,0.4784494428275489,0.0990712074303405,0.028169014084507,-0.248640784030635,,True,False,True,False,False,False,False,True,中段15-25%,高濃度觀察,規格觀察,高濃度;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-20,8048,德勝,通信網路業,adjusted,C_c4_25_fixed20,71.0,38536697.55,1.0,0.0718250630782169,0.1041413966383639,0.1716171617161717,93.0,0.4784494428275489,0.0990712074303405,0.028169014084507,-0.248640784030635,,True,False,True,False,False,False,False,True,中段15-25%,高濃度觀察,規格觀察,高濃度;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-17,2454,聯發科,電子工業,raw,A_repo50_c4_40_fixed20,1925.0,17228826115.3,0.975,0.0773397532350286,0.1015384615384615,0.1127167630057803,49.0,0.83781995922476,0.0158311345646438,0.018181818181818,0.5194551165551624,,False,False,False,True,True,False,False,False,弱動能<15%,主規格CandidateA,低優先-需人工確認,主規格;弱動能,reconstructed,0.3556338028169015,True,1.085375361719737,1.193573856757132,1.517893740251219,量能結構正常,正常,0,False,False,False,0,研究中
2026-04-17,2454,聯發科,電子工業,adjusted,A_repo50_c4_40_fixed20,1925.0,17228826115.3,0.9756624015877264,0.0773397532350286,0.1015384615384615,0.1127167630057803,49.0,0.83781995922476,0.0158311345646438,0.018181818181818,0.5194551165551624,,False,False,False,True,True,False,False,False,弱動能<15%,主規格CandidateA,低優先-需人工確認,主規格;弱動能,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-17,2478,大毅,電子零組件業,raw,A_repo50_c4_40_fixed20,77.2,185539678.55,1.0,0.0821606899682252,0.1088372093023257,0.08885754583921,116.0,0.5378395927242231,0.0404312668463611,0.0220207253886011,0.1302935583957769,,False,False,False,True,True,False,False,False,弱動能<15%,主規格CandidateA,低優先-需人工確認,主規格;弱動能,reconstructed,0.2411575562700965,True,1.6707601242824353,1.859290415818735,2.849491654594607,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-04-17,2478,大毅,電子零組件業,adjusted,A_repo50_c4_40_fixed20,77.2,185539678.55,1.0,0.0821606899682252,0.1088372093023257,0.08885754583921,116.0,0.5378395927242231,0.0404312668463611,0.0220207253886011,0.1302935583957769,,False,False,False,True,True,False,False,False,弱動能<15%,主規格CandidateA,低優先-需人工確認,主規格;弱動能,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-17,8043,蜜望實,電子零組件業,raw,A_repo50_c4_40_fixed20,96.6,455086794.75,0.9512804497189256,0.1373203285420947,0.1859484777517566,0.2627450980392156,95.0,0.5162886567158402,0.0265674814027629,-0.0165631469979296,0.1044980811094051,,False,False,False,True,False,True,False,False,中高25-30%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,0.1052631578947367,True,1.685277649383368,1.9369009700137363,2.426344606197428,大量斷層觀察,大量斷層觀察,-5,False,False,False,0,研究中;大量斷層觀察
2026-04-17,8043,蜜望實,電子零組件業,adjusted,A_repo50_c4_40_fixed20,96.6,455086794.75,0.9516385563915636,0.1373203285420947,0.1859484777517566,0.2627450980392156,95.0,0.5162886567158402,0.0265674814027629,-0.0165631469979296,0.1044980811094051,,False,False,False,True,False,True,False,False,中高25-30%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-17,2454,聯發科,電子工業,raw,B_magic_c4_40_fixed20,1925.0,17228826115.3,0.975,0.0773397532350286,0.1015384615384615,0.1127167630057803,49.0,0.83781995922476,0.0158311345646438,0.018181818181818,0.5194551165551624,,False,False,False,False,False,False,False,False,弱動能<15%,寬基準觀察,規格觀察,非主規格,reconstructed,0.3556338028169015,True,1.085375361719737,1.193573856757132,1.517893740251219,量能結構正常,正常,0,False,False,False,0,研究中
2026-04-17,2454,聯發科,電子工業,adjusted,B_magic_c4_40_fixed20,1925.0,17228826115.3,0.9756624015877264,0.0773397532350286,0.1015384615384615,0.1127167630057803,49.0,0.83781995922476,0.0158311345646438,0.018181818181818,0.5194551165551624,,False,False,False,False,False,False,False,False,弱動能<15%,寬基準觀察,規格觀察,非主規格,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-04-17,2478,大毅,電子零組件業,raw,B_magic_c4_40_fixed20,77.2,185539678.55,1.0,0.0821606899682252,0.1088372093023257,0.08885754583921,116.0,0.5378395927242231,0.0404312668463611,0.0220207253886011,0.1302935583957769,,False,False,False,False,False,False,False,False,弱動能<15%,寬基準觀察,規格觀察,非主規格,reconstructed,0.2411575562700965,True,1.6707601242824353,1.859290415818735,2.849491654594607,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-04-17,2478,大毅,電子零組件業,adjusted,B_magic_c4_40_fixed20,77.2,185539678.55,1.0,0.0821606899682252,0.1088372093023257,0.08885754583921,116.0,0.5378395927242231,0.0404312668463611,0.0220207253886011,0.1302935583957769,,False,False,False,False,False,False,False,False,弱動能<15%,寬基準觀察,規格觀察,非主規格,reconstructed,,,,,,待補,待補,0,,,,0,研究中
