price_mode,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3,score_20d
adj,magic_repo40_c440_c5gt5_regime,58,54,0.13149392109639485,0.06909520479366345,0.5925925925925926,36,0.12107266345741247,-0.01215700489594325,0.4722222222222222,0.29310344827586204,0.1724137931034483,0.10211372331218196
adj,magic_repo50_c440_c5gt5_regime,46,43,0.1597482444232622,0.0886193862734387,0.627906976744186,28,0.17752122891696226,0.02516896465925235,0.5357142857142857,0.2608695652173913,0.15217391304347827,0.1257007816222759
adj,magic_repo60_c440_c5gt5_regime,32,29,0.1909294065744244,0.0886193862734387,0.6551724137931034,21,0.2107476857828502,-0.0062420494071877,0.47619047619047616,0.3125,0.15625,0.12765386903205939
adj,magic_c440_c5gt8_regime,69,65,0.11062812043889564,0.0639338341271076,0.5692307692307692,45,0.11069944335218208,0.018823370871277,0.5111111111111111,0.2898550724637681,0.17391304347826086,0.09502998797326144
adj,magic_repo40_c440_c5gt8_regime,58,54,0.13149392109639485,0.06909520479366345,0.5925925925925926,36,0.12107266345741247,-0.01215700489594325,0.4722222222222222,0.29310344827586204,0.1724137931034483,0.10211372331218196
adj,magic_repo50_c440_c5gt8_regime,46,43,0.1597482444232622,0.0886193862734387,0.627906976744186,28,0.17752122891696226,0.02516896465925235,0.5357142857142857,0.2608695652173913,0.15217391304347827,0.1257007816222759
adj,magic_repo60_c440_c5gt8_regime,32,29,0.1909294065744244,0.0886193862734387,0.6551724137931034,21,0.2107476857828502,-0.0062420494071877,0.47619047619047616,0.3125,0.15625,0.12765386903205939
adj,magic_c460_c5gt3_regime,85,79,0.07634465382513562,0.0246719241704579,0.5063291139240507,53,0.062055162415869405,-0.0308603114082509,0.4528301886792453,0.3764705882352941,0.16470588235294117,0.04593774695526803
adj,magic_repo40_c460_c5gt3_regime,73,67,0.09001983533632632,0.0303262056917026,0.5223880597014925,43,0.06896941029610186,-0.06899166357231,0.4186046511627907,0.3835616438356164,0.1643835616438356,0.05305381763200109
adj,magic_repo50_c460_c5gt3_regime,59,54,0.10696400595612285,0.03807658348641235,0.5370370370370371,33,0.12759211250002642,-0.0062420494071877,0.48484848484848486,0.3559322033898305,0.15254237288135594,0.06023399089381977
adj,magic_repo60_c460_c5gt3_regime,41,37,0.13523823617045633,0.0639338341271076,0.5675675675675675,25,0.14955010084460424,-0.0820721005148719,0.44,0.3902439024390244,0.14634146341463414,0.0876973476406211
adj,magic_c460_c5gt5_regime,84,78,0.07960032499216564,0.02749906493108025,0.5128205128205128,52,0.06465441201712306,-0.02446613589647485,0.46153846153846156,0.38095238095238093,0.16666666666666666,0.0500631674951828
adj,magic_repo40_c460_c5gt5_regime,72,66,0.09407464643541011,0.03268466694686205,0.5303030303030303,42,0.07235215379956432,-0.049925987490280446,0.42857142857142855,0.3888888888888889,0.16666666666666666,0.05674527300746811
adj,magic_repo50_c460_c5gt5_regime,58,53,0.11233309469497811,0.0458269612811221,0.5471698113207547,32,0.13386392279219353,0.006290660732044651,0.5,0.3620689655172414,0.15517241379310345,0.06976092354527304
adj,magic_repo60_c460_c5gt5_regime,41,37,0.13523823617045633,0.0639338341271076,0.5675675675675675,25,0.14955010084460424,-0.0820721005148719,0.44,0.3902439024390244,0.14634146341463414,0.0876973476406211
adj,magic_c460_c5gt8_regime,84,78,0.07960032499216564,0.02749906493108025,0.5128205128205128,52,0.06465441201712306,-0.02446613589647485,0.46153846153846156,0.38095238095238093,0.16666666666666666,0.0500631674951828
adj,magic_repo40_c460_c5gt8_regime,72,66,0.09407464643541011,0.03268466694686205,0.5303030303030303,42,0.07235215379956432,-0.049925987490280446,0.42857142857142855,0.3888888888888889,0.16666666666666666,0.05674527300746811
adj,magic_repo50_c460_c5gt8_regime,58,53,0.11233309469497811,0.0458269612811221,0.5471698113207547,32,0.13386392279219353,0.006290660732044651,0.5,0.3620689655172414,0.15517241379310345,0.06976092354527304
adj,magic_repo60_c460_c5gt8_regime,41,37,0.13523823617045633,0.0639338341271076,0.5675675675675675,25,0.14955010084460424,-0.0820721005148719,0.44,0.3902439024390244,0.14634146341463414,0.0876973476406211
