price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2024,magic_c460_c5gt3_regime,13,13,-0.004748121343943957,-0.078263568350498,0.3076923076923077,13,-0.026823704017631258,-0.1190009671082794,0.3076923076923077,0.15384615384615385,0.0
raw,2025,magic_c460_c5gt3_regime,13,13,0.04002053895385354,0.0458269612811221,0.5384615384615384,13,-0.0020907731988308864,-0.1298245463012459,0.38461538461538464,0.3076923076923077,0.07692307692307693
raw,2026,magic_c460_c5gt3_regime,43,35,0.1269935090758459,0.1302935583957769,0.6285714285714286,13,0.13185284788524754,0.0754355754874011,0.6153846153846154,0.5116279069767442,0.27906976744186046
raw,2021,magic_repo40_c460_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c460_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c460_c5gt3_regime,16,16,0.17134036412279385,0.08841232066507711,0.6875,16,0.2361763385096846,0.17470696252201076,0.6875,0.1875,0.125
raw,2024,magic_repo40_c460_c5gt3_regime,10,10,0.02701557798679225,-0.07623423497900325,0.3,10,-0.002530981271242566,-0.0960533794582421,0.3,0.1,0.0
raw,2025,magic_repo40_c460_c5gt3_regime,11,11,0.044901345671790535,0.0458269612811221,0.5454545454545454,11,-0.01616189791402132,-0.1298245463012459,0.36363636363636365,0.36363636363636365,0.09090909090909091
raw,2026,magic_repo40_c460_c5gt3_regime,39,31,0.1469152497511092,0.1467948433634724,0.6774193548387096,11,0.17620650437213303,0.0876091625774768,0.6363636363636364,0.48717948717948717,0.2564102564102564
raw,2021,magic_repo50_c460_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c460_c5gt3_regime,0,0,,,,0,,,,,
